Datetime,Month
11/7/20,November
6/17/21,June
4/18/21,April
1/6/21,January
8/23/20,August
12/7/20,December
4/11/21,April
1/27/21,January
4/1/21,April
8/4/20,August
11/7/20,November
11/2/20,November
11/1/20,November
10/7/20,October
9/3/20,September
2/24/21,February
9/23/20,September
2/24/21,February
5/22/21,May
1/31/21,January
11/20/20,November
4/11/21,April
6/13/21,June
4/11/21,April
3/2/21,March
6/27/20,June
5/9/21,May
8/4/20,August
8/28/20,August
8/25/20,August
4/20/21,April
3/7/21,March
5/24/21,May
1/24/21,January
4/9/21,April
2/2/21,February
2/4/21,February
11/9/20,November
9/29/20,September
11/29/20,November
2/13/21,February
7/14/20,July
8/23/20,August
5/10/21,May
3/15/21,March
6/25/20,June
9/13/20,September
8/20/20,August
2/11/21,February
3/8/21,March
3/28/21,March
5/25/21,May
3/15/21,March
5/5/21,May
8/31/20,August
6/16/21,June
7/7/20,July
8/20/20,August
9/23/20,September
3/24/21,March
12/7/20,December
8/3/20,August
1/10/21,January
9/20/20,September
7/20/20,July
10/24/20,October
6/6/21,June
12/25/20,December
6/14/21,June
6/5/21,June
11/18/20,November
5/9/21,May
5/11/21,May
11/12/20,November
6/21/20,June
3/4/21,March
7/9/20,July
8/1/20,August
11/23/20,November
12/11/20,December
4/23/21,April
11/13/20,November
6/9/21,June
10/29/20,October
5/14/21,May
8/4/20,August
8/7/20,August
10/23/20,October
11/14/20,November
8/4/20,August
11/12/20,November
4/3/21,April
9/27/20,September
10/27/20,October
10/15/20,October
5/7/21,May
9/16/20,September
10/29/20,October
5/24/21,May
2/25/21,February
5/2/21,May
1/28/21,January
2/15/21,February
11/4/20,November
6/23/20,June
2/16/21,February
1/3/21,January
11/25/20,November
12/3/20,December
5/22/21,May
1/18/21,January
1/6/21,January
5/14/21,May
5/27/21,May
7/21/20,July
5/26/21,May
2/25/21,February
12/7/20,December
10/24/20,October
9/1/20,September
5/10/21,May
2/12/21,February
4/28/21,April
1/24/21,January
3/18/21,March
1/14/21,January
12/23/20,December
5/21/21,May
3/28/21,March
9/16/20,September
11/8/20,November
3/6/21,March
1/13/21,January
9/6/20,September
6/24/20,June
2/7/21,February
1/21/21,January
2/27/21,February
8/22/20,August
8/3/20,August
8/2/20,August
6/4/21,June
10/21/20,October
12/26/20,December
3/2/21,March
3/31/21,March
6/14/21,June
12/27/20,December
2/11/21,February
12/7/20,December
12/28/20,December
10/26/20,October
9/26/20,September
11/25/20,November
7/11/20,July
3/19/21,March
10/11/20,October
11/2/20,November
10/1/20,October
2/11/21,February
2/7/21,February
10/17/20,October
8/9/20,August
2/1/21,February
1/30/21,January
3/31/21,March
2/5/21,February
2/19/21,February
7/25/20,July
7/13/20,July
1/13/21,January
1/2/21,January
11/26/20,November
8/25/20,August
2/1/21,February
6/4/21,June
8/19/20,August
4/22/21,April
6/26/20,June
8/15/20,August
11/26/20,November
4/14/21,April
7/21/20,July
3/29/21,March
5/20/21,May
11/2/20,November
10/24/20,October
9/7/20,September
3/4/21,March
1/7/21,January
7/6/20,July
3/27/21,March
11/21/20,November
8/22/20,August
6/14/21,June
7/15/20,July
3/21/21,March
4/7/21,April
4/24/21,April
9/30/20,September
7/19/20,July
1/21/21,January
1/31/21,January
12/24/20,December
5/27/21,May
2/13/21,February
7/14/20,July
7/15/20,July
10/8/20,October
11/12/20,November
2/21/21,February
7/9/20,July
6/26/20,June
11/20/20,November
5/29/21,May
2/22/21,February
1/7/21,January
10/1/20,October
11/21/20,November
4/15/21,April
6/30/20,June
12/1/20,December
11/7/20,November
6/30/20,June
8/4/20,August
7/28/20,July
10/25/20,October
7/5/20,July
4/28/21,April
1/31/21,January
8/29/20,August
10/15/20,October
8/2/20,August
10/31/20,October
10/12/20,October
12/12/20,December
1/9/21,January
8/23/20,August
12/22/20,December
11/7/20,November
4/17/21,April
4/21/21,April
7/19/20,July
7/6/20,July
3/26/21,March
9/13/20,September
1/28/21,January
1/20/21,January
9/3/20,September
1/9/21,January
9/19/20,September
5/29/21,May
5/15/21,May
8/15/20,August
3/31/21,March
2/15/21,February
3/29/21,March
7/29/20,July
5/8/21,May
11/6/20,November
7/25/20,July
12/4/20,December
9/22/20,September
7/5/20,July
10/20/20,October
1/11/21,January
2/28/21,February
12/6/20,December
5/5/21,May
8/27/20,August
10/15/20,October
1/15/21,January
3/1/21,March
11/28/20,November
6/26/20,June
12/30/20,December
2/14/21,February
3/27/21,March
8/23/20,August
11/9/20,November
5/12/21,May
4/15/21,April
8/16/20,August
9/11/20,September
4/13/21,April
12/13/20,December
12/3/20,December
10/13/20,October
12/4/20,December
1/25/21,January
5/4/21,May
7/23/20,July
1/6/21,January
10/21/20,October
2/23/21,February
1/26/21,January
12/18/20,December
5/23/21,May
10/31/20,October
2/20/21,February
10/28/20,October
8/30/20,August
12/8/20,December
11/4/20,November
8/24/20,August
1/5/21,January
2/28/21,February
9/22/20,September
11/8/20,November
10/26/20,October
11/4/20,November
5/31/21,May
3/7/21,March
6/17/21,June
7/27/20,July
4/19/21,April
10/5/20,October
9/28/20,September
2/25/21,February
12/24/20,December
6/15/21,June
5/3/21,May
2/12/21,February
8/31/20,August
1/11/21,January
8/2/20,August
10/18/20,October
3/28/21,March
2/11/21,February
8/12/20,August
1/7/21,January
10/27/20,October
2/19/21,February
6/8/21,June
10/18/20,October
11/5/20,November
8/16/20,August
10/14/20,October
4/1/21,April
9/25/20,September
3/3/21,March
10/30/20,October
2/12/21,February
2/8/21,February
4/2/21,April
6/30/20,June
10/22/20,October
6/16/21,June
8/10/20,August
7/26/20,July
12/12/20,December
8/21/20,August
5/31/21,May
2/14/21,February
2/15/21,February
9/8/20,September
10/28/20,October
11/21/20,November
10/16/20,October
1/8/21,January
9/7/20,September
1/26/21,January
9/15/20,September
11/9/20,November
9/3/20,September
2/1/21,February
4/14/21,April
1/12/21,January
11/2/20,November
3/8/21,March
9/14/20,September
7/28/20,July
6/30/20,June
1/26/21,January
6/30/20,June
5/19/21,May
3/11/21,March
10/17/20,October
4/12/21,April
11/25/20,November
6/9/21,June
5/20/21,May
9/30/20,September
10/7/20,October
10/7/20,October
1/11/21,January
12/26/20,December
6/15/21,June
5/21/21,May
11/14/20,November
5/5/21,May
8/17/20,August
12/31/20,December
11/21/20,November
10/5/20,October
5/28/21,May
1/12/21,January
2/20/21,February
7/14/20,July
6/5/21,June
3/23/21,March
5/18/21,May
8/31/20,August
6/4/21,June
1/1/21,January
5/29/21,May
7/18/20,July
11/7/20,November
8/11/20,August
7/24/20,July
10/8/20,October
2/5/21,February
11/9/20,November
7/26/20,July
5/19/21,May
11/15/20,November
2/4/21,February
8/1/20,August
9/22/20,September
5/21/21,May
2/25/21,February
4/10/21,April
4/6/21,April
4/5/21,April
12/14/20,December
3/6/21,March
10/12/20,October
11/14/20,November
6/7/21,June
2/13/21,February
5/8/21,May
11/20/20,November
7/18/20,July
8/27/20,August
9/29/20,September
8/17/20,August
8/16/20,August
7/6/20,July
7/22/20,July
5/16/21,May
5/20/21,May
2/11/21,February
8/3/20,August
9/18/20,September
3/27/21,March
7/13/20,July
1/19/21,January
4/30/21,April
4/4/21,April
2/3/21,February
10/6/20,October
11/7/20,November
12/22/20,December
3/20/21,March
8/14/20,August
9/20/20,September
12/20/20,December
5/8/21,May
10/23/20,October
8/27/20,August
5/23/21,May
11/27/20,November
4/16/21,April
5/29/21,May
10/27/20,October
4/3/21,April
6/29/20,June
9/24/20,September
9/13/20,September
8/19/20,August
5/11/21,May
4/2/21,April
9/22/20,September
8/5/20,August
12/15/20,December
5/28/21,May
6/9/21,June
9/7/20,September
8/8/20,August
12/19/20,December
5/24/21,May
1/26/21,January
10/30/20,October
6/13/21,June
12/18/20,December
7/21/20,July
2/5/21,February
12/10/20,December
9/26/20,September
1/13/21,January
11/12/20,November
3/9/21,March
5/18/21,May
6/12/21,June
8/2/20,August
4/14/21,April
12/12/20,December
8/24/20,August
10/7/20,October
3/11/21,March
3/30/21,March
1/3/21,January
5/30/21,May
4/27/21,April
4/13/21,April
3/13/21,March
9/7/20,September
2/6/21,February
5/18/21,May
4/25/21,April
2/28/21,February
10/22/20,October
5/24/21,May
1/25/21,January
11/16/20,November
10/25/20,October
4/18/21,April
6/3/21,June
10/26/20,October
9/8/20,September
12/2/20,December
11/18/20,November
5/25/21,May
4/26/21,April
1/30/21,January
7/23/20,July
12/6/20,December
6/13/21,June
1/23/21,January
7/14/20,July
4/23/21,April
8/22/20,August
4/3/21,April
4/14/21,April
4/15/21,April
5/23/21,May
10/3/20,October
8/9/20,August
12/16/20,December
4/28/21,April
3/31/21,March
3/12/21,March
3/31/21,March
6/16/21,June
6/3/21,June
4/19/21,April
3/25/21,March
12/4/20,December
12/17/20,December
7/22/20,July
9/11/20,September
4/30/21,April
12/13/20,December
3/28/21,March
3/23/21,March
8/1/20,August
5/2/21,May
6/9/21,June
8/27/20,August
4/12/21,April
7/6/20,July
1/22/21,January
5/24/21,May
6/11/21,June
4/27/21,April
3/6/21,March
11/17/20,November
5/30/21,May
1/17/21,January
5/11/21,May
9/6/20,September
12/4/20,December
7/12/20,July
1/9/21,January
6/14/21,June
4/5/21,April
9/10/20,September
3/17/21,March
12/18/20,December
3/2/21,March
1/8/21,January
